frame.time_relative,frame.len,sll.pkttype,sll.hatype,sll.unused,sll.etype,ip.version,ip.hdr_len,ip.dsfield,ip.dsfield.dscp,ip.len,ip.flags,ip.flags.df,ip.ttl,ip.proto,Label
0,62,2,1,0,0x0800,4,20,0x00,0,28,0x40,1,1,2,0
0.017837,62,2,1,0,0x0800,4,24,0xc0,48,32,0x40,1,1,2,0
2.059293,92,0,772,0,0x0800,4,20,0x00,0,76,0x40,1,64,17,0
2.05931,92,0,772,0,0x0800,4,20,0x00,0,76,0x40,1,64,17,0
2.059544,81,4,1,0,0x0800,4,20,0x00,0,65,0x40,1,64,17,0
2.059696,81,4,1,0,0x0800,4,20,0x00,0,65,0x40,1,64,17,0
2.075831,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.075852,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.076003,86,4,1,0,0x0800,4,20,0x00,0,70,0x40,1,64,17,0
2.076189,86,4,1,0,0x0800,4,20,0x00,0,70,0x40,1,64,17,0
2.076517,102,0,1,0,0x0800,4,20,0x00,0,86,0x00,0,64,17,0
2.076654,113,0,772,0,0x0800,4,20,0x00,0,97,0x40,1,64,17,0
2.109121,109,0,1,0,0x0800,4,20,0x00,0,93,0x00,0,64,17,0
2.109322,120,0,772,0,0x0800,4,20,0x00,0,104,0x40,1,64,17,0
2.109671,209,0,1,0,0x0800,4,20,0x00,0,193,0x00,0,64,17,0
2.110029,220,0,772,0,0x0800,4,20,0x00,0,204,0x40,1,64,17,0
2.111419,97,0,1,0,0x0800,4,20,0x00,0,81,0x00,0,64,17,0
2.111546,108,0,772,0,0x0800,4,20,0x00,0,92,0x40,1,64,17,0
2.112994,76,4,1,0,0x0800,4,20,0x00,0,60,0x40,1,64,6,0
2.145362,76,0,1,0,0x0800,4,20,0x00,0,60,0x40,1,56,6,0
2.145396,68,4,1,0,0x0800,4,20,0x00,0,52,0x40,1,64,6,0
2.147588,585,4,1,0,0x0800,4,20,0x00,0,569,0x40,1,64,6,0
2.179023,68,0,1,0,0x0800,4,20,0x00,0,52,0x00,0,56,6,0
2.204702,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
2.204744,97,0,772,0,0x0800,4,20,0x00,0,81,0x40,1,64,17,0
